recordKey,lineNo,date,supplier,invoice,reference,itemType,itemName,expenseCategory,inventoryCategory,assetKey,assetCategory,quantity,unit,sourceUnitPrice,sourceLineAmount,sourceCurrency,rate,lineAmountIqd,invoiceTotalIqd,paymentMode,paymentAccount,branchCode,notes
DOC000100,1,2026-03-15,بوابة الرافدين للبن الخام,1572308,DOC000100,INVENTORY,قهوة خام لقمتي اثيوبيا,GREEN_COFFEE,GREEN_COFFEE,,,30,kg,10750,322500,IQD,,322500,322500,PAID,Cash on Hands,HQ,
DOC000101,1,2026-03-15,بوابة الرافدين للبن الخام,1572306,DOC000101,INVENTORY,قهوة خام روبوستا هندي,GREEN_COFFEE,GREEN_COFFEE,,,30,kg,12250,367500,IQD,,367500,367500,PAID,Cash on Hands,HQ,
DOC000102,1,2026-03-15,بوابة الرافدين للبن الخام,1572307,DOC000102,INVENTORY,قهوة خام ميناس برازيل,GREEN_COFFEE,GREEN_COFFEE,,,30,kg,15000,450000,IQD,,450000,450000,PAID,Cash on Hands,HQ,
DOC000103,1,2026-01-21,جبران,564,DOC000103,INVENTORY,كافك فلاتر ورقي,OVERHEAD,PRODUCTION_SUPPLY,,,1,pack,10000,10000,IQD,,10000,45000,PAID,Cash on Hands,HQ,
DOC000103,2,2026-01-21,جبران,564,DOC000103,INVENTORY,قهوة اثيوبيا بيكيلي 200 غم,GREEN_COFFEE,ROASTED,,,200,g,175,35000,IQD,,35000,45000,PAID,Cash on Hands,HQ,
DOC000104,1,2026-03-17,هوم اسطنبول,8683723704091,DOC000104,INVENTORY,حافظة مواد غذائية شفافة,PACKAGING,PACKAGING,,,4,piece,24750,99000,IQD,,99000,99000,PAID,Cash on Hands,HQ,
DOC000105,1,2026-01-10,شركة الاستلام,022199,DOC000105,SERVICE,رسوم ضريبية اكياس المختصة,SHIPPING,,,,1,piece,21,21,USD,1428.571,30000,30000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000106,1,2025-12-20,ئه لماس,883,DOC000106,EXPENSE,نايلون لاصق,OVERHEAD,,,,1,piece,4000,4000,IQD,,4000,24000,PAID,Cash on Hands,HQ,
DOC000106,2,2025-12-20,ئه لماس,883,DOC000106,EXPENSE,شفرة,EQUIPMENT,,,,1,piece,3000,3000,IQD,,3000,24000,PAID,Cash on Hands,HQ,
DOC000106,3,2025-12-20,ئه لماس,883,DOC000106,EXPENSE,معجون جاهز,MAINTENANCE,,,,1,kg,3000,3000,IQD,,3000,24000,PAID,Cash on Hands,HQ,
DOC000106,4,2025-12-20,ئه لماس,883,DOC000106,EXPENSE,رولة صبغ,MAINTENANCE,,,,1,piece,4000,4000,IQD,,4000,24000,PAID,Cash on Hands,HQ,
DOC000106,5,2025-12-20,ئه لماس,883,DOC000106,EXPENSE,ثنر وسط,MAINTENANCE,,,,1,piece,2000,2000,IQD,,2000,24000,PAID,Cash on Hands,HQ,
DOC000106,6,2025-12-20,ئه لماس,883,DOC000106,EXPENSE,فرشاة صبغ,MAINTENANCE,,,,1,piece,3000,3000,IQD,,3000,24000,PAID,Cash on Hands,HQ,
DOC000106,7,2025-12-20,ئه لماس,883,DOC000106,EXPENSE,تيب ازارة,MAINTENANCE,,,,1,piece,5000,5000,IQD,,5000,24000,PAID,Cash on Hands,HQ,
DOC000107,1,2025-12-20,فروشكاى بيشه نك,649,DOC000107,EXPENSE,قفل,MAINTENANCE,,,,1,piece,7000,7000,IQD,,7000,10000,PAID,Cash on Hands,HQ,
DOC000107,2,2025-12-20,فروشكاى بيشه نك,649,DOC000107,EXPENSE,موس شفرة,EQUIPMENT,,,,1,piece,2000,2000,IQD,,2000,10000,PAID,Cash on Hands,HQ,
DOC000107,3,2025-12-20,فروشكاى بيشه نك,649,DOC000107,EXPENSE,قرص كوسرة,EQUIPMENT,,,,1,piece,1000,1000,IQD,,1000,10000,PAID,Cash on Hands,HQ,
DOC000108,1,2026-02-04,مكتب مكرم,B551,DOC000108,EXPENSE,كاميرا واي فاي,TECH,,,,1,piece,85000,85000,IQD,,85000,85000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000109,1,2026-04-14,شيمال كروب,152,DOC000109,SERVICE,اجور شحن جوي اكياس تقطير,SHIPPING,,,,1,piece,150000,150000,IQD,,150000,150000,PAID,Cash on Hands,HQ,
DOC000110,1,2026-02-04,اوبريتنك سيستم,2300,DOC000110,EXPENSE,ذاكرة ميموري رام 256 كيكا,TECH,,,,1,piece,50000,50000,IQD,,50000,50000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000111,1,2026-03-09,عقارات نعمان عولا حاجى,697,DOC000111,SERVICE,دفع ايجار المحل,RENT,,,,1,piece,200000,200000,IQD,,200000,200000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000112,1,2026-04-06,عقارات نعمان عولا حاجى,758,DOC000112,SERVICE,دفع ايجار المحل,RENT,,,,1,piece,200000,200000,IQD,,200000,200000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000113,1,2026-01-31,بيس,25-0041,DOC000113,SERVICE,لوح بورد فوم ابيض,MARKETING,,,,1,piece,20000,20000,IQD,,20000,20000,PAID,Cash on Hands,HQ,
DOC000114,1,2026-01-30,هاي اكسبريس,1623015,DOC000114,SERVICE,اجور نقل نماذج الى سولو ستوديو,SHIPPING,,,,1,piece,12500,12500,IQD,,12500,12500,PAID,Cash on Hands,HQ,
DOC000115,1,2026-02-03,عقارات نعمان عولا حاجى,583,DOC000115,SERVICE,دفع ايجار المحل,RENT,,,,1,piece,200000,200000,IQD,,200000,200000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000116,1,2025-12-20,ديكورات روزكار,DOC000116,DOC000116,EXPENSE,لاستيك سكة 3 متر,MAINTENANCE,,,,2,piece,7,14,USD,1096.774,15355,34000,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 31.
DOC000116,2,2025-12-20,ديكورات روزكار,DOC000116,DOC000116,EXPENSE,لاستيك هايدروليك 220 سم,MAINTENANCE,,,,1,piece,3,3,USD,1096.774,3290,34000,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 31.
DOC000116,3,2025-12-20,ديكورات روزكار,DOC000116,DOC000116,EXPENSE,قفل سكة كون,MAINTENANCE,,,,1,piece,14,14,USD,1096.774,15355,34000,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 31.
DOC000117,1,2025-12-17,شركة جزيرة النخيل,58252,DOC000117,EXPENSE,اناء جرعة وزن ستنلس,EQUIPMENT,,,,1,piece,15000,15000,IQD,,10274,100000,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 146000.
DOC000117,2,2025-12-17,شركة جزيرة النخيل,58252,DOC000117,EXPENSE,خاتم جرعات اسبريسو 51 ملم,EQUIPMENT,,,,1,piece,7000,7000,IQD,,4795,100000,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 146000.
DOC000117,3,2025-12-17,شركة جزيرة النخيل,58252,DOC000117,EXPENSE,موزع تامبر51 ملم,EQUIPMENT,,,,1,piece,25000,25000,IQD,,17123,100000,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 146000.
DOC000117,4,2025-12-17,شركة جزيرة النخيل,58252,DOC000117,EXPENSE,ميزان حرارة,EQUIPMENT,,,,1,piece,15000,15000,IQD,,10274,100000,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 146000.
DOC000117,5,2025-12-17,شركة جزيرة النخيل,58252,DOC000117,EXPENSE,بخاخ ترطيب حبوب,EQUIPMENT,,,,1,piece,9000,9000,IQD,,6164,100000,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 146000.
DOC000117,6,2025-12-17,شركة جزيرة النخيل,58252,DOC000117,EXPENSE,تامبر اسبريبسو,EQUIPMENT,,,,1,piece,35000,35000,IQD,,23973,100000,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 146000.
DOC000117,7,2025-12-17,شركة جزيرة النخيل,58252,DOC000117,EXPENSE,فلتر يدة,EQUIPMENT,,,,1,piece,40000,40000,IQD,,27397,100000,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 146000.
DOC000118,1,2026-02-01,انجيكو,DOC000118,DOC000118,EXPENSE,مسدس صبغ كهرباء,MAINTENANCE,,,,1,piece,20000,20000,IQD,,20000,20000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000119,1,2026-02-01,انجيكو,DOC000119,DOC000119,EXPENSE,سلم ستاند 6 باية,EQUIPMENT,,,,1,piece,70000,70000,IQD,,70000,70000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000120,1,2026-02-01,ادوات النجار,1204,DOC000120,EXPENSE,نصف سطل صبغ مرجان,MAINTENANCE,,,,1,piece,25000,25000,IQD,,25000,25000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000121,1,2026-02-01,انجيكو,DOC000121,DOC000121,EXPENSE,سيار 10 متر ديلو,EQUIPMENT,,,,1,piece,10000,10000,IQD,,10000,10000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000122,1,2025-11-18,جزيرة النخيل,56867,DOC000122,ASSET,مكينة ديلونجي,EQUIPMENT,,DOC000122-01,Coffee equipment,1,piece,211000,211000,IQD,,211000,247000,PAID,Cash on Hands,HQ,
DOC000122,2,2025-11-18,جزيرة النخيل,56867,DOC000122,INVENTORY,قهوة بريستوت اثيوبيا,GREEN_COFFEE,ROASTED,,,1,piece,12000,12000,IQD,,12000,247000,PAID,Cash on Hands,HQ,
DOC000122,3,2025-11-18,جزيرة النخيل,56867,DOC000122,INVENTORY,قهوة بريستوت برازيل,GREEN_COFFEE,ROASTED,,,1,piece,12000,12000,IQD,,12000,247000,PAID,Cash on Hands,HQ,
DOC000122,4,2025-11-18,جزيرة النخيل,56867,DOC000122,INVENTORY,قهوة بريستوت كولومبيا,GREEN_COFFEE,ROASTED,,,1,piece,12000,12000,IQD,,12000,247000,PAID,Cash on Hands,HQ,
DOC000123,1,2026-02-07,اشتي ستيل,171,DOC000123,ASSET,ميز ستيل,EQUIPMENT,,DOC000123-01,Furniture & fixtures,1,piece,100,100,USD,1500,150000,150000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Invoice total controls; source detail sum was 100.
DOC000124,1,2026-02-02,اشتي ستيل,161,DOC000124,ASSET,سنك ستيل,EQUIPMENT,,DOC000124-01,Furniture & fixtures,1,piece,130,130,USD,1500,195000,375000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Invoice total controls; source detail sum was 250.
DOC000124,2,2026-02-02,اشتي ستيل,161,DOC000124,ASSET,ميز ستيل,EQUIPMENT,,DOC000124-02,Furniture & fixtures,1,piece,120,120,USD,1500,180000,375000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Invoice total controls; source detail sum was 250.
DOC000125,1,2026-04-15,شيمال كروب,258,DOC000125,SERVICE,اجور شحن دولي مع اجور نقل داخلي,SHIPPING,,,,1,piece,508000,508000,IQD,,508000,508000,PAID,Cash on Hands,HQ,Merged metadata from source row(s): 50.
DOC000126,1,2026-03-15,بوابة الرافدين للبن الخام,1572309,DOC000126,INVENTORY,قهوة خام كوجي اثيوبيا,GREEN_COFFEE,GREEN_COFFEE,,,30,kg,11500,345000,IQD,,345000,345000,PAID,Cash on Hands,HQ,
DOC000127,1,2025-12-01,فنجال,DOC000127,DOC000127,ASSET,طاحونة قهوة يدوية,EQUIPMENT,,DOC000127-01,Coffee equipment,1,piece,125000,125000,IQD,,125000,125000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention.
DOC000128,1,2025-12-17,عقارات نعمان عولا حاجى,DOC000128,DOC000128,SERVICE,تاجير محل مع تامينات مع عمولة دلال,RENT,,,,1,piece,400000,400000,IQD,,400000,400000,PAID,Cash on Hands,HQ,
DOC000129,1,2026-01-19,المختصر,100113770,DOC000129,EXPENSE,جهاز كبس تفريغ هواء,EQUIPMENT,,,,1,piece,28000,28000,IQD,,28000,28000,PAID,Cash on Hands,HQ,
DOC000130,1,2026-02-19,مكائن سيف,205,DOC000130,ASSET,جهاز تعبئة حبوب 100 غم,EQUIPMENT,,DOC000130-01,Packaging equipment,1,piece,250000,250000,IQD,,250000,425000,PAID,Cash on Hands,HQ,
DOC000130,2,2026-02-19,مكائن سيف,205,DOC000130,EXPENSE,جهاز لحام اكياس 20سم,EQUIPMENT,,,,1,piece,25000,25000,IQD,,25000,425000,PAID,Cash on Hands,HQ,
DOC000130,3,2026-02-19,مكائن سيف,205,DOC000130,ASSET,ليبل يدوي,EQUIPMENT,,DOC000130-03,Packaging equipment,1,piece,150000,150000,IQD,,150000,425000,PAID,Cash on Hands,HQ,
DOC000131,1,2025-12-04,اوردري,17C025-251204131954,DOC000131,INVENTORY,ملاعق تذوق,OVERHEAD,PRODUCTION_SUPPLY,,,30,piece,0.901,27.03,USD,1498.372,40501,1100000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Invoice total controls; source detail sum was 734.13. Included fees allocated into item costs: عمولة اوردري.
DOC000131,2,2025-12-04,اوردري,17C025-251204131954,DOC000131,ASSET,جهاز كبس حراري,EQUIPMENT,,DOC000131-02,Packaging equipment,1,piece,636.823,636.823,USD,1498.372,954197,1100000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Invoice total controls; source detail sum was 734.13. Included fees allocated into item costs: عمولة اوردري.
DOC000131,3,2025-12-04,اوردري,17C025-251204131954,DOC000131,INVENTORY,كاسة تذوق بلاستك,OVERHEAD,PRODUCTION_SUPPLY,,,30,piece,2.343,70.278,USD,1498.372,105302,1100000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Invoice total controls; source detail sum was 734.13. Included fees allocated into item costs: عمولة اوردري.
DOC000132,1,2025-11-07,اوردري,17C025-251107091916,DOC000132,ASSET,محمصة جيني كافيه,EQUIPMENT,,DOC000132-01,Production equipment,1,piece,625,625,USD,1424,890000,890000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Invoice total controls; source detail sum was 625.
DOC000133,1,2025-11-07,اوردري,17C025-251107091618,DOC000133,ASSET,طاحونة قهوة 98 ملم,EQUIPMENT,,DOC000133-01,Coffee equipment,1,piece,990,990,USD,1424.242,1410000,1410000,PAID,Cash on Hands,HQ,Date normalized from the workbook numeric cell to its visible day/month convention. Invoice total controls; source detail sum was 990.
DOC000134,1,2025-12-24,علي بابا,286748846501025867,DOC000134,INVENTORY,اكياس قهوة مختصة,PACKAGING,PACKAGING,,,1500,piece,0.34,510,USD,1355.882,691500,691500,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 510.
DOC000135,1,2026-02-17,علي بابا,294938623001025867,DOC000135,INVENTORY,اكياس تقطير,PACKAGING,DRIP_BAGS,,,5000,piece,0.015,72.785,USD,1546.019,112527,1495000,PAID,Cash on Hands,HQ,Invoice total controls; source detail sum was 967. Included fees allocated into item costs: عمولة علي بابا مع نقل داخل الصين.
